BD,Address,Address2
INNER CIRCLE SPORTS LLC,"6501 CONGRESS AVENUE, 6501, BOCA RATON, FL 33487","6501 CONGRESS AVENUE, BOCA RATON, FL 33487"
"PLACE TRADE FINANCIAL, INC.","6501 NEW MARKET WAY, RALEIGH, NC 27615",
"GRF CAPITAL INVESTORS, INC.","6506 SOUTH LEWIS AVENUE, SUITE 160, TULSA, OK 74136-1020","6506 SOUTH LEWIS AVENUE, SUITE 160, TULSA, OK 74136-1020"
"EBH SECURITIES, INC.","6525 E. 82ND ST. SUITE 209, INDIANAPOLIS, IN 46250","6525 E. 82ND ST SUITE 209, INDIANAPOLIS, IN 46250"
"RISE FINANCIAL SERVICES, LLC","653 COLLINS AVENUE, MIAMI BEACH, FL 33139",
GRAFINE CAPITAL PARTNERS LLC,"654 MADISON AVENUE, SUITE 1201, NEW YORK, NY 10065","667 MADISON AVENUE, 11TH FLOOR, NEW YORK, NY 10065"
"PRINCIPAL SECURITIES, INC.","655 9TH STREET, DES MOINES, IA 50309","PRINCIPAL FINANCIAL GROUP, 711 HIGH STREET, DES MOINES, IA 50392-2080"
PRUDENTIAL INVESTMENT MANAGEMENT SERVICES LLC,"655 BROAD STREET, 19TH FLOOR, NEWARK, NJ 07102","655 BROAD STREET, 19TH FLOOR, NEWARK, NJ 07102"
"THE GARBACZ GROUP, INC.","655 CRAIG ROAD, SUITE 104, ST. LOUIS, MO 63141",
"OCEAN PARK SECURITIES, LLC","655 DEEP VALLEY, SUITE 340-D, ROLLING HILLS ESTATES, CA 90274","PO BOX 5281, HACIENDA HEIGHTS, CA 91745"
KATALYST SECURITIES LLC,"655 THIRD AVENUE, 18TH FLOOR, NEW YORK, NY 10017",
INCLINE ADVISORS,"655 TYNER WAY, INCLINE VILLAGE, NV 89451",
"MERIDIAN INVESTMENTS, INC.","6550 ROCK SPRING DRIVE, 250, BETHESDA, MD 20817",
TOYOTA FINANCIAL SERVICES SECURITIES USA CORPORATION,"6565 HEADQUARTERS DRIVE, W2-3A-3D, PLANO, TX 75024",
GATEWOOD SECURITIES LLC,"66 HUDSON BLVD. E, 23RD FLOOR, NEW YORK, NY 10001",
BEACON SECURITIES US LIMITED,"66 WELLINGTON STREET WEST, SUITE 4050, TORONTO, ONTARIO, M5K 1H1 CANADA",
"WEA INVESTMENT SERVICES, INC.","660 JOHN NOLEN DRIVE, MADISON, WI 53713-3959","PO BOX 7893, MADISON, WI 53707"
"ELECTRONIC TRANSACTION CLEARING, INC.","660 S. FIGUEROA STREET SUITE 1450, LOS ANGELES, CA 90017","660 S. FIGUEROA STREET SUITE 1450, LOS ANGELES, CA 90017"
HBK SORCE BROKERAGE LLC,"6603 SUMMIT DRIVE, CANFIELD, OH 44406",
CAPITAL BROKERAGE CORPORATION,"6620 WEST BROAD STREET, BUILDING 2, RICHMOND, VA 23230",
"PTP SECURITIES, LLC","664 PROSPECT AVENUE, HARTFORD, CT 06105-4255",
"AMERICAN INDEPENDENT SECURITIES GROUP, LLC","664 S RIVERSHORE LANE, SUITE 150, EAGLE, ID 83616","PO BOX 579, EAGLE, ID 83616"
"CHAUNER SECURITIES, INC.","666 DUNDEE ROAD, SUITE 903, NORTHBROOK, IL 60062-2735","666 DUNDEE ROAD, SUITE 903, NORTHBROOK, IL 60062-2735"
VAN ECK SECURITIES CORPORATION,"666 THIRD AVENUE, 9TH FLOOR, NEW YORK, NY 10017-4033",
REDBIRD BD LLC,"667 MADISON AVE, 16TH FLOOR, NEW YORK, NY 10065",
"BERENSON & COMPANY, LLC","667 MADISON AVENUE, 18TH FLOOR, NEW YORK, NY 10065",
FRONTCOURT SECURITIES LLC,"6671 W. INDIANTOWN ROAD, SUITE 50-102, JUPITER, FL 33458",
"FIRST WESTERN SECURITIES, INC.","669 AIRPORT FREEWAY #409, HURST, TX 76053",
"TRADEZERO AMERICA, INC.","67 35TH STREET, SUITE B450, BROOKLYN, NY 11232",
"SCOTT JAMES GROUP, INC.","6700 ARLINGTON BOULEVARD, FALLS CHURCH, VA 22042",
"AQUAS FINANCIAL, LLC","6700 COMANCHE TRAIL, AUSTIN, TX 78732",
"DIVERSIFIED SECURITIES, INCORPORATED","6700 E. PACIFIC COAST HWY-150, LONG BEACH, CA 90803",
"KARBONE CAPITAL MARKETS, LLC","675 THIRD AVEUNE, 30TH FLOOR, SUITE 3004, NEW YORK, NY 10017","675 THIRD AVENUE, SUITE 3004, NEW YORK, NY 10017"
SOUTHSTATE|DUNCANWILLIAMS SECURITIES CORP.,"6750 POPLAR AVENUE, SUITE 300, MEMPHIS (SHELBY), TN 38138-7424",
SUN'S BROTHERS SECURITIES INC.,"6770 HAWAII KAI DRIVE #209, HONOLULU, HI 96825",
"STOCKPILE INVESTMENTS, INC.","679 TOLAND PLACE, SAN FRANCISCO, CA 94124","548 MARKET ST. PMB 61216, SAN FRANCISCO, CA 94104-5401"
EXCELSIOR EQUITIES,"6795 EAST TENNESSEE STREET, SUITE 210, DENVER, CO 80224",
LAIDLAW & COMPANY (UK) LTD.,"68 PALL MALL, LONDON, SW1Y 5ES ENGLAND","521 5TH AVENUE, 12TH FL, NEW YORK, NY 10175"
"FEDERATED SECURITIES, INC.","680 PARK AVENUE, HUNTINGTON, NY 11743","P.O. BOX 2679, HUNTINGTON STATION, NY 11746-0531"
"AMG DISTRIBUTORS, INC.","680 WASHINGTON BLVD, SUITE 500, STAMFORD, CT 06901",
"TOURMALINE PARTNERS, LLC","680 WASHINGTON BLVD., 10TH FLOOR, STAMFORD, CT 06901",
COMMERCE ONE FINANCIAL INC.,"6800 JERICHO TURNPIKE, SUITE 104W, SYOSSET, NY 11791",
"FIRST HILL SECURITIES, LLC","6800 S. DAWSON CIRCLE, SUITE 227, CENTENNIAL, CO 80112","6800 S. DAWSON CIRCLE, SUITE 127, CENTENNIAL, CO 80112"
"CBIZ FINANCIAL SOLUTIONS, INC.","6801 BRECKSVILLE RD, DOOR N, INDEPENDENCE, OH 44131","P.O. BOX 31420, INDEPENDENCE, OH 44131"
"SAMCO CAPITAL MARKETS, INC.","6805 CAPITAL OF TEXAS HIGHWAY, SUITE 350, AUSTIN, TX 78731",
ANDERSON LENEAVE & CO.,"6805 MORRISON BLVD., SUITE 210, CHARLOTTE, NC 28211",
"ELEVATION, LLC","6836 CARNEGIE BOULEVARD, SUITE 240, CHARLOTTE, NC 28211","6836 MORRISON BOULEVARD, SUITE 240, CHARLOTTE, NC 28211"
COVA CAPITAL PARTNERS LLC,"6851 JERICHO TPKE, SUITE 205, SYOSSET, NY 11791",
"LOCORR DISTRIBUTORS, LLC","687 EXCELSIOR BLVD, EXCELSIOR, MN 55331",
"A.C.R. SECURITIES, INC.","687 PARK LANE, CEDARHURST, NY 11516",
"CIM SECURITIES, LLC","6898 S. UNIVERSITY BLVD, SUITE 270, CENTENNIAL, CO 80122",
"HARTFORD FUNDS DISTRIBUTORS, LLC","690 LEE ROAD, WAYNE, PA 19087",
BOURSA INVESTMENTS,"690 OTAY LAKES ROAD, SUITE 275, CHULA VISTA, CA 91910",
"SCH ENTERPRISES, INC.","690 W. NORTHFIELD DRIVE, STE 100, BROWNSBURG, IN 46112","P.O. BOX 607, BROWNSBURG, IN 46112"
LYNDHURST SECURITIES INC.,"6928 OWENSMOUTH AVENUE, SUITE 200, WOODLAND HILLS, CA 91303","6928 OWENSMOUTH AVE., #200, WOODLAND HILLS, CA 91303"
WASHINGTON SECURITIES CORPORATION,"6935 WISCONSIN AVE NO. 510, CHEVY CHASE, MD 20815-6113",
"DRAGONFLY CAPITAL PARTNERS, LLC","694 PAWLEY RD, SUITE 101, MT PLEASANT, SC 29464","694 PAWLEY RD, SUITE 101, MT PLEASANT, SC 29464"
"ALLIANT SECURITIES, INC. TURNER, NORD, KIENBAUM","695 NORTH LEGACY RIDGE DRIVE SUITE 300, LIBERTY LAKE, WA 99019",
"REDTAIL CAPITAL MARKETS, LLC","6983 HAWK WOODS COURT, BLOOMFIELD, MI 48323",
WATERWAY CAPITAL LLC,"699 BOYLSTON STREET, EIGHTH FLOOR, BOSTON, MA 02116","699 BOYLSTON STREET, EIGHTH FLOOR, BOSTON, MA 02116"
SCHRODER FUND ADVISORS LLC,"7 BRYANT PARK, NEW YORK, NY 10018-3706",
"HUNTWICKE SECURITIES, LLC","7 GROVE STREET, SUITE 201, TOPSFIELD, MA 01983",
SGI SECURITIES LLC,"7 PENN PLAZA, SUITE 1400, NEW YORK, NY 10001",
OLDFIELD CAPITAL GROUP LLC,"7 PENN PLAZA, SUITE 810, NYC, NY 10001",
BJC CAPITAL ADVISORS LLC,"7 PROCTOR STREET, MANCHESTER, MA 01944","2016 OCEAN STREET, UNIT 23, MARSHFIELD, MA 02050, MA 02050"
"CGS - CIMB SECURITIES (USA), INC.","7 TIMES SQUARE, SUITE 1605, NEW YORK, NY 10036",
EULAV SECURITIES LLC,"7 TIMES SQUARE, SUITE 1606, NEW YORK, NY 10036",
RACE ROCK CAPITAL LLC,"7 WAINWRIGHT ROAD, UNIT #99, WINCHESTER, MA 01890",
"ENTERPRISE EQUITIES, INC.","70 CORPORATE CENTER, 11000 BROKEN LAND PARKWAY , SUITE 700, COLUMBIA, MD 21044",
DEMATTEO RESEARCH LLC,"70 EAST 55TH STREET, 10TH FLOOR, NEW YORK, NY 10022",
"DIVERSIFIED RESOURCES, LLC","70 JEFFERSON BLVD., WARWICK, RI 02888",
"STINSON SECURITIES, LLC","70 MONTEZUMA STREET, SAN FRANCISCO, CA 94110",
"GROWTHPOINT TECHNOLOGY PARTNERS, LLC","70 S PARK ST, SAN FRANCISCO, CA 94107","2208 SEMINOLE COURT, SANTA ROSA, CA 95405"
"WESTERN INTERNATIONAL SECURITIES, INC.","70 S. LAKE AVE., STE. 700, PASADENA, CA 91101",
ALDWYCH SECURITIES LLC,"70 SEAVIEW AVENUE, STAMFORD, CT 06902",
MARC J. LANE & COMPANY,"70 W. MADISON, SUITE 2050, CHICAGO, IL 60602-4256",
MIDDLEMARCH SECURITIES LLC,"700 CANAL ST., BUILDING 1, FLOOR 1, SUITE 148, STAMFORD, CT 06902",
"CHARLES RIVER BROKERAGE, LLC","700 DISTRICT AVE, 4TH FLOOR, BURLINGTON, MA 01803",
"DECKER & CO, LLC","700 EL CAMINO REAL, SUITE 120, MENLO PARK, CA 94025",
"GULFSTAR GROUP I, LTD.","700 LOUISIANA STREET STE 3800, HOUSTON, TX 77002","700 LOUISIANA ST STE 3800, HOUSTON, TX 77002"
"PACIFIC SELECT DISTRIBUTORS, LLC","700 NEWPORT CENTER DRIVE, NEWPORT BEACH, CA 92660-6397",
"SIGNAL SECURITIES, INC.","700 THROCKMORTON STREET, FORT WORTH, TX 76102-5036",
COLONNADE ISLAND LLC,"7000 BAHIA BEACH BLVD., LAS VENTANAS II-314, RIO GRANDE, PR 00745-2900","7000 BAHIA BEACH BLVD., APT. 314, RIO GRANDE, PR 00745-2900"
MARTINWOLF,"7000 E SHEA BLVD, SUITE E130, SCOTTSDALE, AZ 85254",
MODERN CAPITAL SECURITIES INC.,"7000 SIX FORKS RD SUITE 102, RALEIGH, NC 27615","1050 JOHNNIE DODDS BLVD, SUITE 2059, MT PLEASANT, SC 29465"
"LIBERTY PARTNERS FINANCIAL SERVICES, LLC","7000 SIX FORKS RD, SUITE 102, RALEIGH, NC 27615","1050 JOHNNIE DODDS BLVD., SUITE 2059, MT. PLEASANT, SC 29465"
INTE SECURITIES LLC,"7000 W PALMETTO PARK ROAD, SUITE 503, BOCA RATON, FL 33433",
THINKTANKTWO SECURITIES LLC,"7000 W PALMETTO PARK ROAD, SUITE 503, BOCA RATON, FL 33433",
"SHEARSON FINANCIAL SERVICES, LLC","7000 W. PALMETTO PARK ROAD, SUITE 501, BOCA RATON, FL 33433",
EFG CAPITAL INTERNATIONAL,"701 BRICKELL AVE, 9TH FLOOR & SUITE 1350, MIAMI, FL 33131-2867",
"GFG SECURITIES, LLC","701 BRICKELL AVENUE, SUITE 1400, MIAMI, FL 33131",
INVESTSHARES,"701 BRICKELL AVENUE, SUITE 1550, MIAMI, FL 33131",
"BUTTONWOOD PARTNERS, INC.","701 DEMING WAY, SUITE 100, MADISON, WI 53717",
"HYDE PARK CAPITAL ADVISORS, LLC","701 N. FRANKLIN STREET, TAMPA, FL 33602",
HANCOCK WHITNEY INVESTMENT SERVICES INC.,"701 POYDRAS ST., SUITE 3100, NEW ORLEANS, LA 70139",
"SECURITIZE MARKETS, LLC","701 S MIAMI AVE, BRICKELL CITY CENT C/O WEWORK, MIAMI, FL 33131",
PENTEGRA DISTRIBUTORS INC.,"701 WESTCHESTER AVENUE, SUITE 320E, WHITE PLAINS, NY 10604",
"THE OAK RIDGE FINANCIAL SERVICES GROUP, INC.","701 XENIA AVE. SOUTH, SUITE 100, GOLDEN VALLEY, MN 55416-1089",
"CARR, RIGGS & INGRAM CAPITAL ADVISORS, L.L.C.","7035 HALCYON PARK DRIVE, MONTGOMERY, AL 36117",
"COORDINATED CAPITAL SECURITIES, INC.","704 RIVER PLACE COMMERCE CENTER III, MADISON, WI 53716",
"M&A CAPITAL HOLDINGS, LLC","704 WINDING RIDGE TRAIL, SOUTHLAKE, TX 76092",
"AUSTIN GROWTH CAPITAL, LLC","706 GUADALUPE STREET, AUSTIN, TX 78701",
AMERICAN ENTERPRISE INVESTMENT SERVICES INC.,"707 2ND AVENUE SOUTH, MINNEAPOLIS, MN 55402","5221 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN 55474"
"AMERIPRISE FINANCIAL SERVICES, LLC","707 2ND AVENUE SOUTH, MINNEAPOLIS, MN 55402","5221 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN 55474"
"BLACK OAK SECURITIES, INC.","707 CARROLL STREET, SUITE C, PAWNEE, IL 62558","707 CARROLL STREET, SUITE C, P.O. BOX 590, PAWNEE, IL 62558"
"RIVERSOURCE DISTRIBUTORS, INC.","707 SECOND AVENUE SOUTH, MINNEAPOLIS, MN 55402","5229 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN 55474"
FIRST SOVEREIGN SECURITIES,"707 SKOKIE BOULEVARD, SUITE 520, NORTHBROOK, IL 60062",
"JBS LIBERTY SECURITIES, INC.","708 MCLAIN ROAD, KANNAPOLIS, NC 28083",
"MC SQUARE CAPITAL, LLC","71 ARCH STREET, GREENWICH, CT 06830",
1964 GLOBAL,"71 MURRAY STREET, NO. 8, NEW YORK, NY 10007",
MILLIMAN INVESTMENT MANAGEMENT SERVICES LLC,"71 S. WACKER DRIVE, 31ST FLOOR, CHICAGO, IL 60606",
TD SECURITIES AUTOMATED TRADING LLC,"71 S. WACKER DRIVE, SUITE 2940, CHICAGO, IL 60606",
